,user,text,favorite_count,retweet_count,created_at
152,elonmusk,@EvaFoxU Nice,15388,396,2023-02-24 03:35:43+00:00
153,elonmusk,@DavidSacks A Russia-China alliance is inevitable. It will grow much stronger over time.,41971,4463,2023-02-24 03:08:33+00:00
154,elonmusk,@PeterDiamandis Yeah,13365,481,2023-02-23 22:05:41+00:00
155,elonmusk,@lopatonok @UnderSecStateP Interesting thread,5405,658,2023-02-23 21:54:38+00:00
156,elonmusk,"@alx While there is relative good &amp; bad, there are no pure angels in war. Beware those who say they are.",45571,3746,2023-02-23 20:44:25+00:00
157,elonmusk,@growing_daniel 🤣,4769,197,2023-02-23 20:40:52+00:00
158,elonmusk,"@KatiePavlich Maximum skill with monetary policy is extremely important in this role! 

A bad Fed decision affects the lives of everyone.",42186,3618,2023-02-23 19:53:19+00:00
159,elonmusk,@TheRabbitHole84 ♥️,6799,364,2023-02-23 19:43:41+00:00
160,elonmusk,"@farzyness At least half, but probably more like 80% is centrist or at least apolitical, but most of that remaining 20% is on this platform lol",7306,354,2023-02-23 16:04:42+00:00
161,elonmusk,"@farzyness Crazy theory – maybe I’m just centrist? 

Also, when did free speech become right-wing? That was the weirdest switcheroo ever.",125713,7571,2023-02-23 15:53:18+00:00
162,elonmusk,@ZubyMusic It’s coming,130646,13403,2023-02-23 15:47:22+00:00
163,elonmusk,@KanekoaTheGreat Sigh,5266,330,2023-02-23 09:23:56+00:00
164,elonmusk,@FreeBeacon Concerning,2852,265,2023-02-23 09:17:35+00:00
165,elonmusk,@ScottAdamsSays kek,6868,519,2023-02-23 08:04:48+00:00
166,elonmusk,Cybertruck at Tesla Engineering HQ https://t.co/2xo9Hjgfk9,175920,11472,2023-02-23 07:42:07+00:00
167,elonmusk,"@Cernovich There are quite a few rich, influential hypochondriacs!",32317,1780,2023-02-23 07:36:11+00:00
168,elonmusk,@BillyM2k @cz_binance 🤣,2524,122,2023-02-23 07:01:18+00:00
169,elonmusk,@cb_doge Yeah,4652,224,2023-02-23 07:00:09+00:00
170,elonmusk,@Tesla EV-1 -&gt; Tzero -&gt; Roadster -&gt; S3XY -&gt; Semi -&gt; Cybertruck …,18980,1275,2023-02-23 03:40:53+00:00
